feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,walking_distance_to_nearest_greenspace
Scotland,2017,community_belonging,Fairly strongly,42,All,All,All,All,All,All,More than 10 minutes
West Lothian,2017,community_belonging,Fairly strongly,43,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,community_belonging,Fairly strongly,42,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,community_belonging,Don't know,3,All,All,All,All,All,All,More than 10 minutes
Highland,2013,community_belonging,Fairly strongly,32,All,All,All,All,All,All,More than 10 minutes
West Lothian,2018,community_belonging,Very strongly,53,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,community_belonging,Very strongly,43,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,community_belonging,Very strongly,36,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,community_belonging,Fairly strongly,41,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,community_belonging,Fairly strongly,43,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,community_belonging,Fairly strongly,38,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,community_belonging,Very strongly,31,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,community_belonging,Fairly strongly,41,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2015,community_belonging,Fairly strongly,32,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,community_belonging,Very strongly,23,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,community_belonging,Not very strongly,28,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,community_belonging,Fairly strongly,42,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,community_belonging,Very strongly,38,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,community_belonging,Not very strongly,13,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,community_belonging,Very strongly,23,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2019,community_belonging,Not very strongly,12,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,community_belonging,Very strongly,27,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2013,community_belonging,Fairly strongly,35,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,community_belonging,Not at all strongly,8,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2017,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,community_belonging,Fairly strongly,40,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2013,community_belonging,Not at all strongly,13,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,community_belonging,Not at all strongly,12,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2017,community_belonging,Not at all strongly,9,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,community_belonging,Very strongly,27,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,community_belonging,Very strongly,36,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2014,community_belonging,Not at all strongly,6,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,community_belonging,Not at all strongly,11,All,All,All,All,All,All,More than 10 minutes
West Lothian,2018,community_belonging,Not at all strongly,1,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,community_belonging,Not at all strongly,12,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2018,community_belonging,Very strongly,27,All,All,All,All,All,All,More than 10 minutes
Dundee City,2016,community_belonging,Not very strongly,18,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2017,community_belonging,Not very strongly,6,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,community_belonging,Not very strongly,12,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,community_belonging,Fairly strongly,40,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,community_belonging,Fairly strongly,36,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,community_belonging,Fairly strongly,44,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,community_belonging,Fairly strongly,42,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,community_belonging,Not at all strongly,16,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,community_belonging,Very strongly,20,All,All,All,All,All,All,More than 10 minutes
