feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity
East Dunbartonshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,59,All,All,All,All,Pensioners,All
Scottish Borders,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,77,Female,All,All,All,All,All
East Dunbartonshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,72,All,All,All,All,Adults,All
East Dunbartonshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,70,Male,All,All,All,All,All
Fife,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,69,Female,All,All,All,All,All
Scottish Borders,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,79,All,All,All,All,Adults,All
Aberdeen City,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,All,All,All,Adults,All
Scottish Borders,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,82,Male,All,All,All,All,All
Scottish Borders,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,87,Male,All,All,All,All,All
Scottish Borders,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,75,All,All,All,All,Pensioners,All
Aberdeen City,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,63,Female,All,All,All,All,All
Scottish Borders,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,81,All,All,All,All,Adults,All
East Dunbartonshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,67,All,All,All,All,All,All
Scottish Borders,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,77,All,All,All,All,All,All
South Lanarkshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,54,All,All,All,All,All,All
East Ayrshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,73,All,All,All,All,All,All
East Dunbartonshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,62,All,All,All,All,All,All
Fife,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,77,All,All,All,All,All,All
West Lothian,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,59,All,All,All,All,All,All
Orkney Islands,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,52,All,All,All,All,All,All
West Dunbartonshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,50,All,All,All,All,All,All
East Lothian,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,74,All,All,All,All,All,All
Fife,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,67,All,All,All,All,Adults,All
Scottish Borders,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,All,All,All,All,With Children,All
East Dunbartonshire,2018,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,66,Female,All,All,All,All,All
Fife,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,70,Male,All,All,All,All,All
Fife,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,68,All,All,All,All,Pensioners,All
