feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,walking_distance_to_nearest_greenspace
Aberdeen City,2018,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,65,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2014,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,93,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,83,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,89,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,95,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,76,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2019,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,71,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,93,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2015,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,90,All,All,All,All,All,All,More than 10 minutes
East Renfrewshire,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,92,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,99,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,96,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,97,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,88,All,All,All,All,All,All,More than 10 minutes
Falkirk,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,72,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,85,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2015,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,97,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,92,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,84,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,96,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,96,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,83,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,85,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,93,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,81,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,82,All,All,All,All,All,All,More than 10 minutes
Highland,2013,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,88,All,All,All,All,All,All,More than 10 minutes
