feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,walking_distance_to_nearest_greenspace
Aberdeenshire,2019,neighbourhood_rating,Very good,73,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,neighbourhood_rating,Very good,71,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2019,neighbourhood_rating,Very good,42,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,neighbourhood_rating,No opinion,1,All,All,All,All,All,All,More than 10 minutes
Highland,2013,neighbourhood_rating,Fairly good,26,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2014,neighbourhood_rating,Fairly good,46,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,neighbourhood_rating,Very poor,5,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,neighbourhood_rating,Fairly good,46,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,neighbourhood_rating,Fairly good,37,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,neighbourhood_rating,Very good,38,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2015,neighbourhood_rating,Fairly poor,6,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,neighbourhood_rating,Fairly poor,1,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,neighbourhood_rating,Fairly poor,1,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,neighbourhood_rating,Fairly good,41,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,neighbourhood_rating,Fairly good,64,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,neighbourhood_rating,Very good,52,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,neighbourhood_rating,Very poor,3,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,neighbourhood_rating,Very good,32,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2019,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,neighbourhood_rating,Fairly poor,5,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,neighbourhood_rating,Fairly good,32,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,neighbourhood_rating,Very poor,3,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,neighbourhood_rating,Fairly good,42,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2017,neighbourhood_rating,Fairly good,42,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,neighbourhood_rating,Fairly poor,9,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,neighbourhood_rating,Fairly poor,10,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2014,neighbourhood_rating,Fairly good,43,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2013,neighbourhood_rating,Fairly good,56,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2013,neighbourhood_rating,Fairly good,45,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2015,neighbourhood_rating,Fairly good,46,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,neighbourhood_rating,Fairly good,50,All,All,All,All,All,All,More than 10 minutes
Falkirk,2017,neighbourhood_rating,Fairly good,54,All,All,All,All,All,All,More than 10 minutes
Falkirk,2017,neighbourhood_rating,Very good,38,All,All,All,All,All,All,More than 10 minutes
West Lothian,2017,neighbourhood_rating,Fairly good,60,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2015,neighbourhood_rating,Fairly good,40,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,neighbourhood_rating,Fairly poor,14,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,neighbourhood_rating,Very good,43,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2017,neighbourhood_rating,Fairly good,13,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,neighbourhood_rating,Fairly good,51,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,neighbourhood_rating,Fairly good,47,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,neighbourhood_rating,Fairly good,41,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2013,neighbourhood_rating,Very good,40,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,neighbourhood_rating,Very good,50,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,neighbourhood_rating,Fairly good,52,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2015,neighbourhood_rating,Very good,47,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,neighbourhood_rating,Fairly good,27,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,neighbourhood_rating,Fairly good,45,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,neighbourhood_rating,Very poor,3,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,neighbourhood_rating,Fairly good,39,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,neighbourhood_rating,Fairly good,46,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,neighbourhood_rating,No opinion,0,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,neighbourhood_rating,No opinion,0,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,neighbourhood_rating,No opinion,0,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,neighbourhood_rating,No opinion,1,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,neighbourhood_rating,Fairly good,41,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,neighbourhood_rating,Very good,48,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2014,neighbourhood_rating,Very good,46,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,neighbourhood_rating,Fairly good,32,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,neighbourhood_rating,Fairly poor,9,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2013,neighbourhood_rating,Very good,47,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,neighbourhood_rating,No opinion,0,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,neighbourhood_rating,No opinion,0,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2015,neighbourhood_rating,Very good,54,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,neighbourhood_rating,Fairly poor,5,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,neighbourhood_rating,Fairly good,38,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,neighbourhood_rating,Fairly poor,7,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,neighbourhood_rating,Fairly good,41,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2013,neighbourhood_rating,Very poor,4,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,neighbourhood_rating,Fairly poor,5,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,neighbourhood_rating,Fairly poor,3,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,neighbourhood_rating,Very poor,3,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,neighbourhood_rating,Fairly poor,6,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,neighbourhood_rating,Very good,55,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,neighbourhood_rating,No opinion,1,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2017,neighbourhood_rating,Fairly poor,6,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2013,neighbourhood_rating,Fairly good,45,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,neighbourhood_rating,Fairly poor,7,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,neighbourhood_rating,No opinion,1,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,neighbourhood_rating,Very good,50,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,neighbourhood_rating,Fairly good,33,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,neighbourhood_rating,Fairly good,38,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2013,neighbourhood_rating,Very poor,4,All,All,All,All,All,All,More than 10 minutes
West Lothian,2018,neighbourhood_rating,Very good,50,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,neighbourhood_rating,Fairly good,51,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,neighbourhood_rating,Very good,42,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,neighbourhood_rating,Very good,42,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2018,neighbourhood_rating,Very good,58,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,neighbourhood_rating,Very poor,3,All,All,All,All,All,All,More than 10 minutes
Dundee City,2016,neighbourhood_rating,Very good,47,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,neighbourhood_rating,Very good,61,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,neighbourhood_rating,Very good,53,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,neighbourhood_rating,Very good,65,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2013,neighbourhood_rating,Very good,41,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,neighbourhood_rating,Very poor,8,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,neighbourhood_rating,Very good,48,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,neighbourhood_rating,No opinion,2,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,neighbourhood_rating,No opinion,0,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,neighbourhood_rating,Fairly poor,1,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,neighbourhood_rating,Very poor,5,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2014,neighbourhood_rating,Very good,43,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,neighbourhood_rating,Very good,61,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,neighbourhood_rating,Very good,89,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,neighbourhood_rating,Very good,46,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,neighbourhood_rating,No opinion,2,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2014,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,neighbourhood_rating,Very good,52,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2017,neighbourhood_rating,Very good,62,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2017,neighbourhood_rating,Very good,87,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,neighbourhood_rating,Very good,54,All,All,All,All,All,All,More than 10 minutes
West Lothian,2018,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,neighbourhood_rating,Very good,57,All,All,All,All,All,All,More than 10 minutes
Falkirk,2018,neighbourhood_rating,Fairly good,52,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,neighbourhood_rating,Fairly good,42,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,neighbourhood_rating,Fairly good,38,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,neighbourhood_rating,Very good,42,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,neighbourhood_rating,Very good,29,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,neighbourhood_rating,Very good,54,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2018,neighbourhood_rating,Very good,81,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2013,neighbourhood_rating,Fairly poor,5,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,neighbourhood_rating,Very good,58,All,All,All,All,All,All,More than 10 minutes
Highland,2013,neighbourhood_rating,Very good,68,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,neighbourhood_rating,Very poor,8,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,neighbourhood_rating,Very poor,3,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,neighbourhood_rating,No opinion,2,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,neighbourhood_rating,Fairly good,62,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,neighbourhood_rating,Very good,37,All,All,All,All,All,All,More than 10 minutes
East Renfrewshire,2017,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,neighbourhood_rating,Very good,42,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,neighbourhood_rating,Very poor,10,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,neighbourhood_rating,Fairly good,35,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,neighbourhood_rating,Fairly good,51,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,neighbourhood_rating,Fairly good,36,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2017,neighbourhood_rating,Fairly good,32,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2019,neighbourhood_rating,Fairly poor,10,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,neighbourhood_rating,Fairly poor,1,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,neighbourhood_rating,Fairly good,50,All,All,All,All,All,All,More than 10 minutes
Highland,2013,neighbourhood_rating,Very poor,4,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,neighbourhood_rating,Very poor,4,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2013,neighbourhood_rating,Fairly poor,1,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,neighbourhood_rating,Fairly good,39,All,All,All,All,All,All,More than 10 minutes
East Renfrewshire,2017,neighbourhood_rating,Fairly good,11,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,neighbourhood_rating,Fairly poor,10,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2017,neighbourhood_rating,Very good,52,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2014,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,More than 10 minutes
West Lothian,2017,neighbourhood_rating,Very good,40,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,neighbourhood_rating,Fairly good,44,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,neighbourhood_rating,Fairly poor,6,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2017,neighbourhood_rating,Fairly poor,6,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,neighbourhood_rating,Very good,57,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,neighbourhood_rating,Fairly poor,8,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,neighbourhood_rating,Fairly poor,13,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,neighbourhood_rating,Very good,53,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,neighbourhood_rating,Fairly good,45,All,All,All,All,All,All,More than 10 minutes
Highland,2013,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,neighbourhood_rating,Very poor,3,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,neighbourhood_rating,Very good,41,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2018,neighbourhood_rating,Fairly poor,5,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,neighbourhood_rating,No opinion,0,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2019,neighbourhood_rating,Fairly poor,3,All,All,All,All,All,All,More than 10 minutes
Dundee City,2016,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2018,neighbourhood_rating,Fairly good,19,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,neighbourhood_rating,Fairly good,34,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,neighbourhood_rating,Fairly good,45,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2019,neighbourhood_rating,Fairly good,22,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2015,neighbourhood_rating,Fairly poor,6,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
Falkirk,2018,neighbourhood_rating,Very good,41,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,neighbourhood_rating,Very good,53,All,All,All,All,All,All,More than 10 minutes
Falkirk,2018,neighbourhood_rating,Fairly poor,7,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2018,neighbourhood_rating,Fairly good,37,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2013,neighbourhood_rating,Very good,67,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,neighbourhood_rating,No opinion,0,All,All,All,All,All,All,More than 10 minutes
