year,figure,breakdown,disaggregation,indicator,measure
2013,71.8,16 to 24,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,71.8,16 to 24,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,68.7,16 to 24,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,71.5,16 to 24,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,69.4,16 to 24,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,69.7,16 to 24,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,67.4,16 to 24,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,70.8,25 to 34,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,69.1,25 to 34,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,65.7,25 to 34,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,63.4,25 to 34,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,66.1,25 to 34,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,65.6,25 to 34,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,67.7,25 to 34,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,69.4,35 to 44,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,71.4,35 to 44,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,72.2,35 to 44,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,66.4,35 to 44,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,66.1,35 to 44,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,69,35 to 44,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,67.6,35 to 44,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,68.4,45 to 59,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,71,45 to 59,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,70.3,45 to 59,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,68.1,45 to 59,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,66.3,45 to 59,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,65.7,45 to 59,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,67.3,45 to 59,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,65,60 to 74,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
